,id,document,predicted_label
1,                형주              ,커즈와 드디어 이겼네칸나와 우승했다페이커오늘 고기먹겠당,0.47289252
2,                우우가가우가가              ,갓정수 시즌내내 실험하고 있던거 ㄹㅇ입니까순위권 유지만 하고 실험하다가 결승은 뚝딱ㄷㄷ결승전에 실험결과 제출하는 거 보소ㅋㅋㅋㅋ젠지 박탈감 심할듯ㅠ,0.07477215
3,                양우혁              ,페이커 경기 합데스 단 ,0.35866478
4,                고승표              ,결승 보면서 티원 팬인데도 젠지의 밴픽과 경기력에 대해 안타까운 생각이 많이 드는 게임이었음 작년 스프링 결승처럼 판테탈리 바텀조합같은 특이한 픽이 나온것도 아닌 더 좋은 픽들이 있는데도 의문스러운 밴픽이 자꾸 나온듯,0.35377273
5,                이태하              ,여러분은 누군가의 소확행을 보고 계십니다,0.81879526
8,                차니              , 다들 제 각각 해설 하다가 한명이 티 하니까 다 같이 원 하는거 왤케 웃기눜ㅋㅋㅋㅋㅋㅋ 티원ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.6786004
9,                연제혁              , 그의 대회텐션 ㄷㄷ 이게 매력이지,0.4123999
10,                이상곤              ,결승전페이커 데스커즈 데스테디 데스 ㄷㄷ,0.5190789
11,                정병관              ,테디의 비공식 펜타 너무 아쉽다 펜타킬이었으면 더 좋았을텐데,0.6701216
12,                Sehyun Kwon              , 아니 이 체력에 점멸 안쓰고 그냥 무빙으로 피하는 베짱 ㄷㄷ,0.643409
13,                훌라훌라              ,아니 웃긴게 트레쉬 토크를 을프랑 엠바션이 함 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.20868582
14,                김용진              ,  으로 빨리 이기고 회식하는게 저의 소확행이에요,0.8739959
15,                SH C              , 오늘도 전기고문 당하는 김동준,0.26868886
16,                박진              ,페이커  저는 클라이드를 만나면 전투력이 두배 상승합니다,0.60504663
17,                엔지              ,거의 젠지콩는 까야 제맛이지 수준인데 는 항상 젠지만 만나면 전투력이 배는 오르는거 같애,0.038368315
18,                고수              ,년넘게 전세계를 휩쓸었음에도 불구하고 패배에 분해 눈물 흘릴줄 아는 진짜 승부사 페이커 그리고 그 눈물을 원동력 삼아 한층 더 성장한 페이커 레전드 네버 다이 영상을 보면 아직도 소름이 돋고 너무 멋있습니다 페이커선수가 은퇴하기 전까지 그 뜨거운 승부욕 보여주시면 감사하겠습니다  살아있는 레전드페이커 선수가 다시 롤드컵을 들어올리는 장면을 꼭보고 승리의눈물을 봤으면 좋겠습니다 페이커선수 화이팅,0.9983753
19,                뀨꾸꿀뀨뀰뀨?              ,커즈 진짜 맘고생 심했을텐데 우승으러 모든걸 털어버리고 우리 롤드컵까지 우승합시다,0.2485187
20,                Jong Su Choi              ,김정수 감독 이정도면 롤드컵 청부사가 아니고 그냥 강팀 제조업체 대표같다 ㄷㄷㄷㄷ,0.6438246
21,                장세웅              ,진짜은 어디까지 올라가려나의 우승페이커우승,0.26772976
22,                끼이요옷              ,오늘  다 잘해줬는데 개인적으로 커즈가 오늘따라 빛나보였음 전엔 칸나가 빛났다면 이번 젠지전은 커즈가 빛나보였음 젠지 벤픽을 보면 경기 다 정글쪽 저격벤이 많은데 커즈는 오히려 존재감 뿜뿜하면서 지각해서 벤픽개 날려도 경기 퍼블기여하고 경기 스틸번하는거 보고 ㄹㅇ 정글대통령이 맞구나 생각했음 아무튼  젠지 둘다 수고하셨습니다,0.480809
23,                박바삭              ,  칸나로얄로더  완승  정글대통령 커즈  세트 밴카드 개 상실,0.1116395
24,                lemonade 616              ,커즈님 포옹하는거 너무 귀엽네,0.9642353
25,                누둥이              , 침착해 침착해,0.6915833
26,                jk j              ,선수들도 진짜 대단한데 감독 역량에 감탄하게됨 진짜  킹정수,0.9059384
27,                해바라기 오태식              , 젠지에 사람이 없다고 말하는 용준좌,0.2520321
28,                정수환              , 우승 커리어로 성작을 하는 팀과 플레이어가 있다 뿌슝빠슝뿌슝,0.46302596
29,                정주현              ,울밥대전 울프 압승 ㅋㅋ,0.79812574
30,                매미맴맴              , 에포트 마지막까지 바론 못가게 막는거 왜케 멋있냐 ㅋㅋ ㅠ저게 서포터다 진짜,0.9856802
31,                ᄒᄃ              ,  에포트반응 미쳤는데,0.4287435
32,                김영민              ,  ㅋㅋㅋㅋㅋㅋㅋ칸나 트름하고 멋쩍어서 웃는데ㅋㅋㅋㅋㅋ나만봄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.27015284
33,                최진영              , 거 졸렬하시네 포킹 좀 그만합시다 그쪽도  월즈때 졸렬하게 하시지 않았나요,0.42871055
34,                퇴족구              ,밴없이 세트 이겼다 ㅋㅋ 솔직히 예상했음,0.070376664
35,                JW C              ,뭔가 은 매 스플릿마다 리그 내내 설렁설렁하고 실험하다가 토너먼트에서 본인들 플레이에 확신이 생겨서 다 박살내고 우승 먹는 것 같네 근데 그게 존나 까리하게 멋있는 팀,0.03349352
36,                우오              ,미드차이ㅋㅋㅋ,0.7121706
37,                ᄂᄂᄂᄂ              ,이번 시즌 유행어티이이이이원,0.35409927
38,                부랄스타즈              ,젠지가 등진출이라 대떡은 진짜 예상못했는데 이 초반킬을 조금 당해도 운영오브젝트에서 상대가 안된다 이대로 월드챔피언쉽 우승 가자,0.38466656
39,                정환              , 아니 에포트가 오더 계속 하는거였어 ㅋㅋㅋㅋ 완전 다른사람이네,0.4700011
40,                트오              ,김정수 감독삼성 겔럭시 롤드컵  준우승 결승롱주 게이밍 롤드컵  강 롤드컵  우승 결승담원 롤드컵  강 롤드컵  결승강결승강결승,0.20605588
41,                갓백수              ,설마 젠지가 한세트도 못가져갈 줄은 생각도 못했음 오늘 티원 너무 잘했다 ㅠㅠ,0.12552804
42,                지구              ,오히려 이 위한게 한수 위였던거 같음 디얼엑스 경기때부터 폼 많이 올렸는듯,0.7285693
43,                wiewoei oiful              ,칸나 세체탑이 될 조건은 다 갖췄다 애니 부터 눈물과 데뷔시즌 우승 매드무비 볼때부터 알아봤다 아주 크게될 선수다,0.6465636
44,                Test              ,그렇게 그의 전화번호는 지켜졌다고 합니다,0.38909936
45,                머쓱타드              , 강타안쓰고도 먹는 그는,0.3728097
46,                xx GG              , ㅋㅋㅋㅋㅋㅋ 테디 개귀엽네,0.8948355
47,                나다              ,테디 진짜 ㅈㄴ잘해 ㅜㅜ,0.80850285
48,                부우              ,치킨 오기전에 끝나는건 너무하잔냥,0.21791458
49,                내오형              ,오늘 커즈는 어디에나 있었고칸나는 어디서나 단단했다,0.24428788
50,                *시스이의왼쪽눈깔*              , 저게 프로다,0.37716088
51,                김민석              ,페이커 작년에 손떠는거 보고 많이 슬펐는대 올해 주년 롤드컵에 황제의 귀한 레전드 귀환 보여주자,0.92592597
52,                삼성충jhj              ,이건 도 잘하긴 했는데 실력차이 너무났다,0.106770754
53,                아!?이폰?              , 님 너무 상심하지마요상대가 이잖아ㅋ,0.16260749
54,                양명성              , 팬티 뭐임,0.10519287
55,                김동원              , 에포트 그의 타워사랑,0.92551965
56,                선우그란데              , 항상 벤픽보면 팀이랑 전혀 안맞는 픽 한번씩해서 좀 그랬는데진짜 김정수 감독은 을 너무 잘아는거 같다,0.27024937
57,                레드와인버건디              ,롤드컵 타이틀 가지러가자 이제,0.22138876
58,                류민혁              ,전문가들  이 대부분 티원압승예상 난 팬이지만 솔직히 좀 쫄렸다 분명 젠지도 엄청잘하는팀이니까 솔직히 내부사정은 모르겠는데너무 대놓고 룰러의존픽 너무심해 룰러잘하는거알겠는데 그렇게까지 룰러만봐라볼 팀인가 해설자들도 벤픽할때 계속 끙끙앓더만 벤픽이 클템은 수습하게 바쁘고 긴장연출할려고 희망고문계속얘기하고 비디디 플레쉬랑 궁 계속얘기하고 제의 팀이봤을때 젠지 벤픽결국은  재미없는 결승 중동메타그래서 세트 다짐 세트는 애들표정보면 걍 멘탈다나감,0.029975414
59,                hh H              ,결승전 하이라이트가 무슨 분이 안되냐,0.11290985
60,                이우용              ,은 일간에 준비한게많아보엿지만 반면 젠지는주일이라는 비교적오랜기간동안 준비한게 없는느낌,0.34562024
61,                버거찐찌              ,경기전 엠비션 중계인터뷰에서 차이 이러더니 ㄹㅇ ㅁㄷㅊㅇ로 떡발렸노 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.1698491
62,                유호창              ,ㅋㅋㅋㅋㅋ에포트 마지막경기까지 넥서스 치는거 개기엽네 ㄹㅇㅋㅋㅋㅋㅋㅋㅋ,0.66457814
63,                송의준              ,앰비션이 맞았다ㄹㅇ 비디디차이으딜 다전제 한테 비벼,0.4316581
64,                걍모름              ,페이커 폼 미쳤네 ㄷㄷ,0.16886654
65,                김상연              , 우승 축하드리고 젠지 분들도 수고 많으셨습니다 올해는 꼭 팀 다 롤드컵 본선 가면 좋겠네요 응원합니다,0.9802473
66,                서가              ,  잡자잡자잡자에포트  미안해 끝낼게,0.12628406
67,                동혁              ,비디디차이,0.34474504
68,                허언왕김진실              ,스크압살 예상했는데 진짜 셧아웃 시켯네 젠지는 시즌초부터 결승까지 픽이 똑같네 이러니 스크가 압살하기 쉬웠지,0.0783917
69,                고승윤              , 칸나가 질리언 폭탄 달린 미니언한테 텔 써서 웨이브 유지하는 깨알 센스,0.75266546
71,                류진현              ,우리 상메 파랑머리 염색 가즈아,0.4765249
72,                Karin              ,ㅠㅠㅠㅠㅠ 넘 아쉽다 플옵 시작부터 티원 너무 급격하게 잘해이번엔 젠지 우승 진짜 보고 싶었는데 ㅠㅠㅠㅠㅠ,0.8240992
73,                INCHEON GAMING              ,일부러 등을 안하고 경험치 쌓을려고 킹정수 당신은 대체,0.17006037
74,                H Choi              ,결국 올드플레이어 하나 명장 한명은 있어야하는게 아닐까 앰비션이 룰러를 빅게임 헌터라고 했는데 앰비션 니가 있을떈 그랬겠지 라는 생각이 드는 결승이였다 코르키에 위축돼서 아무것도 못하는 세트 세트는 이미   아쉬웠을 따름,0.038067847
75,                Haesung Song              ,치킨이 식기 전에 적장의 목을 베어왔다,0.564885
76,                6시간전              , 킹포트 어그로 다끄네,0.42791486
77,                도날드덕              ,초 클템ㅋㅋㅋㅋ안녕 난 테디라고해ㅋㅋㅋㅋㅋㅋ,0.76828074
78,                김딱지봉지              ,칸나 오른 플레이 너무 멋있다 진짜,0.87757754
79,                김준홍              ,아니 번중 승이면 아무리 티원이라도  페이커없었음 연승 했을까페이커 티원 그 자체,0.15161744
80,                프로젝트:파이크              ,페이커 롤 커리어 ㄹㅇ 지리네,0.41517445
81,                전진              ,결승만되면 짐승이되는팀 ㄷㄷ 그이름  협곡,0.18338221
82,                정원준              ,ㄹㅇ  경기 보면서 때도 그렇고 초반 부진하다가 중후반에 일어서는거 보면 진짜 뭔 저런팀이 다있어 라는 말이 절로 나옴,0.68226475
83,                현대아파트놀이터그네1짱엄준식              ,앰비션 울프 트래시 토크 올려주삼,0.59572005
84,                망곡분석가'이승              ,왜 젠지는 한테 졌을때 밴픽이랑 달라진게 크게 없냐 픽만보면 그 준비기간 짧았던 보다도 준비를 안한 느낌임,0.34833845
85,                빗자루              ,안녕난테디라고해 ㅋㅋㅋㅋㅋ,0.8640315
87,                츄츄              ,자 그래서 이제 누가 최고의 미드지  ㅋ,0.90307915
88,                버미              ,압도적이라 노잼이었지만 슼이 이겨서 기분좋다 롤드컵 우승가자,0.08535209
89,                김재원              , 아니 소리지르는거 뭐라고 ㅈㄴ웃기냐 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.114671886
90,                용용용              ,진짜 이번 경기에서 다시 느꼈지만 이전에 페이커선수 혼자 플레이메이커미끼 할려고 고군분투한 느낌이였는데 그러다 몇번 죽고 힘든적이 많았는데 이번에 테디선수가 아펠로 앞에서 미끼플레이하고 살아가는거 보고 호응이 잘되고 한몸 된듯한 느낌을 받아서 정말 좋은 경기였습니다,0.9538722
91,                Sch Ash              , 미안해 끝낼게,0.057623893
92,                시스티나              ,진짜 너무한거 아니냐 ㅋㅋㅋ 뭐 버그냐 도대체 다전제 결승만 가면 무슨 괴물들이 있냐 ㅋㅋㅋ 일부로 장난치나 ㅋㅋㅋ,0.013409466
93,                Playboi Carti              , ㅋㅋ,0.6446758
94,                장시온              ,진정한 승리자 ㅇㅅㄴㅅ,0.7494747
95,                김정환              , 과 차이코치진 차이벤픽차이ㅌㅊㅇ  ㅁㄷㅊㅇ ㅈㄱㅊㅇ ㅂㅌㅊㅇ,0.23323542
96,                Kuzma lea              ,이런밴픽을짜는 감독을 베스트코치로 투표한사람이있다,0.28743267
97,                minus IN              ,사전 인터뷰는 안올라오나요 강찬밥 페까랑 퍽즈,0.6337451
99,                쿠고로노마              , 어디하나 빠지는 라인이 없네 ㄷㄷ,0.23147309
100,                EXHAUST-MEERKAT              , 같은 탑유저로서 이 장면이 탑은 어떤 마인드로 해야되는지 알려줬다,0.3605507
101,                김민지              ,문우찬 안기는거 귀엽다,0.9260496
102,                안재현              ,세트에 볼리베어 있는줄도 몰랐네 ㅋㅋ,0.43029624
103,                서채환              ,오늘 커즈칸나 존나 잘했다,0.6460608
104,                6시간전              , 허접허접허접허접허접,0.0026018023
105,                하루과학              ,하체게임만하는 젠지는 상황에 맞게 조합과 플레이 스타일 변모하는 을 이길 수 없지,0.25055403
106,                Tleod Shim              , 그의 환한 미소,0.9056308
107,                진채채              ,테디 비공식 펜타 에이스,0.7160329
108,                망고망고              ,와 페이커  어느구간에서 봐도,0.50157523
109,                김준영              ,지금보니까 은 다 안경쓰고있네,0.599931
110,                박대훈              , 에포트 플레시 그랩 ㅋㅋㅋㅋㅋ 위치 진짜 개오진다,0.6717827
111,                YS P              , 상혁이형 입 모양 넘 귀엽누,0.72340924
112,                정진송              , 타워치는데 미안하다고 말하는 상메와 커즈좌 너무 착한거 아니요ㅠㅠ 광광,0.6914651
113,                asdf qwer              ,ㅋㅋㅋㅋ 비폭력제이스에다가 배신자 처단,0.5404891
114,                박보성              ,단주의  정말 축하합니다,0.8555257
115,                키히니segsihyoni              , 테디아나이싸아,0.6668128
116,                김경태              ,비디디 마지막에 우는데 너무 안쓰럽더라 이기고 빠커 번호 따가겠다고 했는데ㅠㅠㅠㅠㅠ,0.51653147
117,                eugene Choi              ,커즈가 매 라운드 미쳐 날뛰고 라이너들도 정말 집중력 가지고 잘했다 페이커도 언젠가 은퇴를 할텐데 페이커 없는 은 메시 없는 바르셀로나 같이 어색하겠지,0.38361868
118,                don't come to me pop              , 잊지않겠읍니다,0.9523918
119,                쏘쏘              , 아 나이뚜 ㅋㅋㅋㅋㅋㅋㅋㅋ 행복롤,0.8145032
120,                멸치칼국수              , 해설들 ㅋㅋ 예측 ㄹㅇ 똥 인정해버리는 결과 너무 좋구요  무시하더니 너무 좋구요,0.55705106
121,                김시우              ,너무 압도적인 경기력이라서 결승전이 아닌것 같더라,0.9234725
122,                단결              ,밴픽이 문제가 아니라 걍 실력차가 너무 심함ㅋㅋ,0.13888559
123,                DaeCheon Choi              ,누구나 부진은 있는법,0.49602184
124,                김문선              ,커즈 이기고 나서 깡총거리는 거 왤케 귀여워ㅓㅋㅋㅌㅌㅌㅋㅋㅋ 이번에  다 만족한 경기같아서 좋다ㅎㅎ,0.98912203
125,                Pau L              ,ㅋㅋㅋㅋㅋㅋ  원딜의 외침,0.6173996
126,                이종혁              ,한마디로 팩트있게말하면 이 잘했음,0.61345714
127,                김효찬              ,영상요약  우우웅 쾅,0.24944958
128,                염라아저찌              ,테디 너무 귀엽다ㅏㅠㅠ  나이따,0.87559354
129,                김본              , 난 이때 오른 옆에 누가 있는줄,0.7971626
130,                안혁주              ,개웃기넼ㅋㅋㅋㅋㅋ 영상 보면서 제일 많이 듣는 해설이 뿌우우랑 이다 ㅋㅋㅋㅋㅋ,0.5580285
131,                Ku Koo              ,폼은 일시적이지만 클라스는 영원하네 스크,0.89276135
132,                정지호              , 아ㅏㅏㅏㅏ아아ㅏㅇㄱ 오 오오오ㅇ 아아ㅏ아아가 시끄러워서 못보겠네 ,0.31445423
133,                JiYong 33              ,재평가,0.94121623
134,                꽃가람              ,커밑클,0.42343527
135,                꽃동네원이              ,젠지 이상적인 조합 뭐지라고 생각하게 만들지만 역시 인 조합,0.7549231
136,                내가상기다              ,같은 아지르 다른느낌,0.1183418
137,                래포키              ,  취한다 크으 영원한 팬이자 페이커 팬이다 응원합니,0.9512514
138,                김원기              , 클템과 다른 사람과의 차이 질리언 터지면 한타 못 이기는걸 클템은 알고있지만 다른 해설이나 캐스터는 무작정 싸움 일어난곳만 보고있음,0.25776857
139,                이종필              ,칸나 커즈 진짜 잘한다 ㅋㅋㅋㄲ,0.47980094
140,                [Animator] Kyle              , 그와중에 커즈 어시 없누 ㅋㅋㅋㅋㅋㅋ,0.12864551
141,                서진형              ,앰비션비디디차이하더니 미드 정글 촤이 비디디 차이네 ㅋㅋ,0.31334126
142,                쏘가리              ,우승청부사 킹정수,0.3217612
143,                제닉스              , 오른 너프 좀 저게 챔이냐,0.63108563
144,                june              ,이거 너무 잔인한데 노딱 안붙나,0.036710322
145,                헉헉              , 와 핑와 ㄷㄷㄷ,0.80832905
146,                SEONGHYEOK GWON              , 진짜 너무 좋음ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.9152818
147,                정재원              , 테디 비공식펜타,0.64778185
148,                아잉눈              ,미쳤네 ㅋㅋㅋ바루스 딜봐라 너프 각이네,0.29426858
149,                정택운              ,이 이길줄 알앗다,0.17139596
150,                ᄋᄋ              , 해설자 흥분,0.22046703
151,                이일이              ,  차이,0.25521934
152,                Youtube엄준식              ,세트에서 커즈 강타싸움 진짜 레전드 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.79379237
153,                김진재              ,이 이끄는 시즌엔 롤드컵을 기대 할 만 하다,0.6247335
154,                Cliff Chu              , 안녕 난 테디라고해,0.7573407
155,                고태영              , 아 나이따,0.28197598
156,                Criticcal Patrick              ,역대급으로 시시한 결승이 되었다,0.36532342
158,                이주영              ,개인적으로 이번 시즌  전체적인 조화가 너무 좋다 전시즌 보다,0.98622805
159,                동수              ,뿌우우우우우 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0.49985737
160,                민훈기              ,동준좌 카시궁 여러번 들리네ㅋㅋㅋㅋㅋ,0.9112644
161,                김상우              ,은 다 빛났는데 젠지는 한명도 안빛난듯 진짜 칸나 커즈 페이커 테디 에포트 다 완벽에 가까운 경기력 는 상대적으로 선방한거였네,0.857767
162,                100 5              ,해설 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋ,0.10139823
163,                빨리보틀 palli bottle              ,칸나 커즈 왜케 잘하냐,0.5703887
164,                풍악              ,에포트 파랑머리 확정,0.64050716
165,                ᄋᄋ              ,  질리언 질리언 솔직히 좋아해,0.719182
166,                Timothy Lee              , 이거 어째 맞추노,0.071517676
167,                귀요미              ,이 김뚱감독 오더니 ㄹㅇ 스타일이 확바뀜김뚱 ㅎㅇㅌ,0.44373792
168,                얍얍              ,도 잘했는데 젠지가 ㄹㅇ 밴픽 너무 멍청하게 했음,0.03169626
169,                몽몬차차              , 와클동준  약속이라도 한듯  중주역시 이맛이지,0.45148623
170,                안선생              ,괜히 빨리 이기고 회식하는게 소확행이라 인터뷰 한게 아니네그저 신빛상혁당신은 대체,0.30896622
171,                옛날              ,마지막에 크레이지 커리어이럴때 약간 오그라듬ㅋㅋㅋㅋㅋ졸귀탱,0.8057639
172,                박태현              ,  페이커 성 띄웠다,0.13867465
173,                찐들의향연              ,칸나 미쳣다 공격적인게 너무마음에든다,0.8929961
174,                Jeremy Van Lewis              , 진짜  선수 명이 하나가 된 듯하네어그로도 완벽하고 한 명 빼면 한 명 들어가면서 서로의 호흡이 완벽함 진짜 경이롭네,0.98313254
175,                정진욱              ,진짜 세계관 최강자들의 싸움이다,0.42099184
176,                이름없음              ,해설자들 맞춘거처럼 하는거 겁나 웃기넼ㅋㅋㅋㅋㅋ,0.6793187
177,                돌맹이              ,매 장면마다 아아아아악 하는 비명소리들리네 ㅋㅋㅋ,0.5778492
179,                하늑              ,아무튼 가 더 잘함 ㅅㄱ,0.50372887
180,                현구              ,무슨 은 ㄹㅇ 일겜하는 줄 알겠네 ㅈㄴ 침착하네,0.57239115
181,                이선호              ,아니 근데 티원페이지는 오떻게 경기 끝난지 얼마 지나지도 않았는데 바로 썸네일까지 뽑고 그렇게 빨리 올리는걸깤ㅋㅋ,0.7266462
182,                이찬희              ,칸나 갱킹때문에 고생하는거 진짜 안쓰럽다ㅋㅋ,0.17330396
183,                박차돌              ,난 우리 슼 항상 응원한다,0.9890173
184,                가람              ,  테디가 페이커 복수 해주노 ㅋㅋㅋ,0.80166674
185,                fan eminem              ,칸나 겜할줄아넼ㅋㅋ 세트에는  인장질 세트에는 면상텔 ㅋㅋ,0.07867086
187,                수홍              ,칸나  데뷔시즌 곧바로 우승ㄷ,0.68984014
188,                노래가좋아요              , 칸나쉑 웃는거 귀엽네,0.67499113
